,서울 인구,부산 인구,대구 인구,인천 인구,광주 인구,대전 인구,울산 인구,세종 인구,경기 인구,강원 인구,충북 인구,충남 인구,전북 인구,전남 인구,경북 인구,경남 인구,제주 인구,gdp,consumer_price_index
23.01,9460273,3332183,2374858,2963359,1431943,1447345,1113279,385526,13602864,1542098,1598218,2122463,1779484,1842999,2612639,3289073,680064,216164.75,110.45
23.02,9468340,3326430,2373973,2968696,1438086,1447345,1115727,379033,13605552,1536685,1599868,2125664,1772673,1851474,2605964,3295986,679080,216168.2,110.64
23.03,9467386,3333379,2370100,2962106,1432113,1447125,1116852,385853,13599515,1541550,1596410,2126058,1778620,1834730,2610983,3288397,679902,216166.89,110.45
23.04,9477189,3328324,2373009,2962148,1433691,1452390,1115149,382790,13603695,1537730,1595272,2122450,1778009,1842995,2611363,3291601,678810,216166.09,110.5
23.05,9470664,3327860,2372788,2962010,1431550,1451190,1114518,384619,13605456,1542438,1596891,2124683,1773729,1856639,2611180,3294298,678953,216163.44,110.53
23.06,9466766,3327947,2375814,2964570,1434122,1448791,1115606,381049,13607840,1541920,1596090,2125082,1778480,1832849,2606897,3295740,679634,216163.44,110.74
23.07,9471657,3333493,2369983,2968405,1438053,1448729,1114236,381262,13602362,1537597,1602178,2123487,1777804,1846324,2608181,3294303,680483,216162.85,110.67
23.08,9472476,3328622,2369808,2961774,1434930,1445925,1114174,380192,13607803,1543388,1595429,2126199,1774529,1852764,2608225,3290647,680436,216167.7,110.62
23.09,9472971,3327426,2375536,2968807,1434329,1449538,1112270,381559,13600128,1543490,1598920,2125851,1779058,1833081,2613446,3293751,680518,216166.11,110.41
23.10,9473373,3326262,2370433,2964688,1432606,1451648,1116600,381284,13605542,1539803,1596479,2124258,1776047,1834057,2612119,3291394,679914,216166.75,110.69
23.11,9464285,3328618,2374931,2964096,1437571,1449653,1114107,382783,13601401,1536381,1597421,2126553,1774352,1824991,2611089,3293006,680617,216162.62,110.56
23.12,9477393,3331941,2368036,2966086,1432201,1446810,1113356,380854,13602913,1542126,1594657,2126274,1777273,1853609,2606326,3292215,679379,216168.32,110.72
